genus.proper,family,extant,valid,inPBDB,INTEGRAT,GROWTH,MORPH,soli.diam,ECOLOGY,alt.symb,symbio,Reference,Evidence,Confidence
Discocoenia,Amphiastreidae,0,1,1,0,solitary,patellate,small,az,,NA,NA,NA,NA
Discocoeniopsis,Stylophyllidae,0,1,1,0,solitary,discoid,small,az,,NA,NA,NA,NA
Discocyathus,Caryophylliidae,0,1,1,0,solitary,discoid,small,az,,NA,NA,NA,NA
Discoidocyathus,Caryophylliidae,0,1,1,0,solitary,turbinate,small,az,,NA,NA,NA,NA
Discotrochus,Fungiidae,0,1,1,0,solitary,discoid,small,az,,?,"{Perrin, 2012 #14453}",Uniformitarian,1
Distichoflabellum,Reimaniphylliidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Distichomeandra,Margarophylliidae,0,1,1,3,colonial,lamellar,,z,,NA,NA,NA,NA
Distichomorpha,Reimaniphylliidae ,0,1,1,0,solitary,cylindrical,large,z,,NA,NA,NA,NA
Distichophyllia,Reimaniphylliidae,0,1,1,0,solitary,cylindrical,large,z,,Z,"{Stanley, 1995 #600}",isotope data from skeleton,1
Distichopsis,Reimaniphylliidae,0,1,1,0,solitary,cylindrical,large,z,,NA,NA,NA,NA
Donacosmilia,Donacosmiliidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Duncanopsammia,Dendrophylliidae,1,1,1,1,colonial,dendroid,,z,,NA,NA,NA,NA
Duncanosmilia,Ellipsosmiliidae,0,1,1,1,colonial,phaceloid,,az,,NA,NA,NA,NA
Ebrayia,Latomeandridae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Echinomorpha,Pectiniidae,1,1,1,1,solitary,patellate,large,z,,NA,NA,NA,NA
Echinophyllia,Pectiniidae,1,1,1,3,colonial,lamellar,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Echinopora,Faviidae,1,1,1,2,colonial,lamellar,,z,,NA,NA,NA,NA
Eckastraea,Eckastraeidae,0,1,1,2,colonial,massive,,z,,Z,"{Morycowa, 2010 #12813}",Corallum shape with depth,1
Edwardsastraea,Faviidae,0,1,1,2,colonial,,,z,,NA,NA,NA,NA
Edwardsomeandra,,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Edwardsoseris,Latomeandridae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Elasmocoenia,Stylinidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Elasmophora,Cyathophoridae,0,1,1,2,colonial,ramose,,z,,NA,NA,NA,NA
Elasmophyllia,Montlivaltiidae,0,1,1,1,colonial,phaceloid,,az,,NA,NA,NA,NA
Elephantaria,Actinacididae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Ellipsasteria,Heliastraeidae,0,1,1,2,colonial,,,z,,NA,NA,NA,NA
Ellipsocoenia,Latomeandridae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Ellipsoidastraea,Conophylliidae,0,1,1,0,solitary,cupolate,large,z,,NA,NA,NA,NA
Ellipsosmilia,Montlivaltiidae,0,1,1,0,solitary,trochoid,large,z,,NA,NA,NA,NA
Elysastraea,Montlivaltiidae,0,1,1,2,colonial,lamellar,,z,,Z,"{Zonneveld, 2007 #10632}",Corallum shape with depth,1
Enallhelia,Euheliidae,0,1,1,1,colonial,dendroid,,az,z,AZ,"{Gill, 2004 #10191}",Dendroid growth,3
Enallocoenia,Actinastreidae,0,1,1,2,colonial,ramose,,z,,NA,NA,NA,NA
Enallopsammia,Dendrophylliidae,1,1,1,1,colonial,dendroid,,az,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Endopachys,Dendrophylliidae,1,1,1,0,solitary,patellate,small,az,,NA,NA,NA,NA
Eocomoseris,Microsolenidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Eohydnophora,Faviidae,0,1,1,2,colonial,massive,,z,,Z,"{Rosen, 2000 #6594}",Corallum shape with depth,1
Eothelia,Agatheliidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Epismilia,Zardinophyllidae,0,1,1,0,solitary,trochoid,large,z,,NA,NA,NA,NA
Epismiliopsis,Zardinophyllidae,0,1,1,0,solitary,trochoid,medium,az,z,NA,NA,NA,NA
Epistreptophyllum,Dermosmiliidae,0,1,1,0,solitary,subcylindrical,large,z,,NA,NA,NA,NA
Epistreptum,Dermosmiliidae,0,1,1,0,solitary,cylindrical,large,z,,NA,NA,NA,NA
Etallonasteria,Acroporidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Etalloniopsis,Acroporidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Eugyra,Faviidae,0,1,1,4,colonial,massive,,z,,Z,"{Rosen, 2000 #6594}",Corallum shape with depth,1
Euphyllia,Euphyllidae,1,1,1,1,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Eupsammia,Eupsammidae,1,1,1,0,solitary,conical,small,az,,AP,"{Perrin, 2012 #14453}",Uniformitarian,1
Eusmilia,Caryophylliidae,1,1,1,1,colonial,phaceloid,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Ewaldocoenia,Stylinidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Faksephyllia,Caryophylliidae,0,1,1,1,colonial,dendroid,,az,,AZ,"{Bernecker, 2005 #8995}",Occurrence below photic zone,3
Favia,Faviidae,1,1,1,2,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Favites,Faviidae,1,1,1,2,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Felixigyra,Faviidae,0,1,1,3,colonial,massive,,z,,Z,"{Tom†s, 2008 #11508}",Corallum shape with depth,1
Filkornia,Felixaraeidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Flabellosmilia,Meandrinidae,0,1,1,3,solitary,turbinate,,az,,NA,NA,NA,NA
Flabellum,Flabellidae,1,1,1,0,solitary,flabellate,small,az,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Flexastrea,Coryphylliidae,0,1,1,4,colonial,lamellar,,z,,NA,NA,NA,NA
Floriastrea,Euheliidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Foveolocyathus,Turbinoliidae,1,1,1,0,solitary,ceratoid,small,az,,NA,NA,NA,NA
Fungia,Fungiidae,1,1,1,0,solitary,discoid,large,z,,NA,NA,NA,NA
Fungiacyathus,Fungiacyathidae,1,1,1,0,solitary,cupolate,small,az,,NA,NA,NA,NA
Fungiastraea,Latomeandridae,0,1,1,3,colonial,massive,,z,,Z,"{Rosen, 2000 #6594}",Corallum shape with depth,1
Funginella,Funginellidae,0,1,1,0,solitary,trochoid,small,az,,NA,NA,NA,NA
Funginellastraea,Fungiidae,0,1,1,0,solitary,discoid,medium,az,z,NA,NA,NA,NA
Fungophyllia,Pectiniidae,0,1,1,0,solitary,discoid,medium,z,az,NA,NA,NA,NA
Furcophyllia,,0,1,1,0,solitary,ceratoid,medium,az,z,NA,NA,NA,NA
Gablonzeria,Gablonzeriidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Galaxea,Euphylliidae,1,1,1,1,colonial,phaceloid,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Garateastrea,Guembelastraeidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Gardineria,Flabellidae,1,1,1,0,solitary,turbinate,small,az,,NA,NA,NA,NA
Gardineroseris,Agariciidae,1,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Genabacia,Microsolenidae,0,1,1,1,colonial,cupolate,,ap,,NA,NA,NA,NA
Gigantostylis,Procyclolitidae,0,1,1,0,solitary,trochoid,small,az,,NA,NA,NA,NA
Gillastraea,Cuifastraeidae,0,1,1,1,colonial,phaceloid,,z,,NA,NA,NA,NA
Glenarea,Meandrinidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Goldfussastrea,Montlivaltiidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Goniastrea,Faviidae,1,1,1,2,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Goniocora,Stylinidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Goniocorella,Caryophylliidae,1,1,1,1,colonial,dendroid,,az,,NA,NA,NA,NA
Goniopora,Poritidae,1,1,1,2,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Grandifavia,Faviidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Gregorycoenia,Funginellidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Guembelastraea,Guembelastraeidae,0,1,1,2,colonial,massive,,z,,Z,"{Stanley, 1995 #600}",isotope data from skeleton,3
Guynia,Guyniidae,1,1,1,0,solitary,ceratoid,small,az,,NA,NA,NA,NA
Gyrodendron,Calamophylliidae,0,1,1,2,colonial,fasciculate,,z,,NA,NA,NA,NA
Gyrosmilia,Meandrinidae,1,1,1,3,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Hadrophyllia,Faviidae,0,1,1,3,colonial,flabellate,,z,,NA,NA,NA,NA
Haimeicyclus,Stylophyllidae,0,1,1,0,solitary,discoid,medium,az,z,NA,NA,NA,NA
Haimesiastraea,Columastreidae,0,1,1,2,colonial,ramose,,z,,NA,NA,NA,NA
Haldonia,Faviidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Halomitra,Fungiidae,1,1,1,3,colonial,lamellar,,z,,NA,NA,NA,NA
Halysitastraea,Cladophylliidae,0,1,1,1,colonial,dendroid,,az,z,NA,NA,NA,NA
Haplaraea,Haplaraeidae,0,1,1,0,solitary,cylindrical,large,z,,NA,NA,NA,NA
Heliastrea,Heliastraeidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Heliocoenia,Stylinidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Heliofungia,Fungiidae,1,1,1,0,solitary,cupolate,large,z,,NA,NA,NA,NA
Herpolitha,Fungiidae,1,1,1,3,colonial,lamellar,,z,,NA,NA,NA,NA
Heterastraea,Stylophyllidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Heterocoenia,Heterocoeniidae,0,1,1,2,colonial,lamellar,,z,,NA,NA,NA,NA
Heterocyathus,Caryophylliidae,1,1,1,0,solitary,ceratoid,medium,ap,,NA,NA,NA,NA
Heterogyra,Agariciidae,0,1,1,3,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Heteropsammia,Dendrophylliidae,1,1,1,0,solitary,cylindrical,medium,ap,,NA,NA,NA,NA
Heterosmilia,Heterocoeniidae,0,1,1,1,colonial,phaceloid,,z,,NA,NA,NA,NA
Hexaflos,Rhipidogyridae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Hexamphiastrea,Amphiastreidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Hexapetalum,Amphiastreidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Hexasmilia,Heterocoeniidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Hexasmiliopsis,Heterocoeniidae,0,1,1,0,solitary,trochoid,small,az,,NA,NA,NA,NA
Hindeastraea,Rhizangiidae,0,1,1,2,colonial,ramose,,z,,NA,NA,NA,NA
Hispaniastraea,Amphiastreidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Holcotrochus,Turbinoliidae,1,1,1,0,solitary,turbinate,small,az,,NA,NA,NA,NA
Holocoenia,Actinastreidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Holocystis,Cyathophoridae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Houchangocyathus,,0,1,1,0,solitary,,small,az,,NA,NA,NA,NA
Hydnophora,Faviidae,1,1,1,2,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Hydnophoromeandraraea,Microsolenidae,0,1,1,2,colonial,lamellar,,z,,Z,"{Rosen, 2000 #6594}",Corallum shape with depth,1
Hydnophyllon,Fungiidae,0,1,1,3,colonial,,,z,,NA,NA,NA,NA
Hydrasmilia,Procyclolitidae,0,1,1,1,colonial,phaceloid,,z,,NA,NA,NA,NA
Hykeliphyllum,Amphiastreidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Idiotrochus,Turbinoliidae,1,1,1,0,solitary,cuneiform,small,az,,NA,NA,NA,NA
Ilariosmilia,Smilotrochiidae,0,1,1,0,solitary,ceratoid,small,az,,?,"{Perrin, 2012 #14453}",Uniformitarian,1
Indophyllia,Mussidae,1,1,1,0,solitary,discoid,medium,z,,NA,NA,NA,NA
Indosmilia,Faviidae,0,1,1,0,solitary,trochoid,medium,z,az,NA,NA,NA,NA
Intersmilia,Intersmiliidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Isastrea,Montlivaltiidae,0,1,1,2,colonial,massive,,z,,Z,"{Lathuiliäre, 2000 #5075}",Corallum shape with depth,1
Isastrocoenia,Conophylliidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Isophyllia,Mussidae,1,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Isopora,Acroporidae,1,1,1,2,colonial,ramose,,z,,NA,NA,NA,NA
Ixogyra,Dendrogyridae,0,1,1,4,colonial,lamellar,,z,,NA,NA,NA,NA
Javania,Flabellidae,1,1,1,0,solitary,trochoid,small,az,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Karatchastraea,Cuifastraeidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Keriophyllia,Amphiastraeidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Khytrastrea,Coryphylliidae,0,1,1,0,solitary,patellate,,z,,NA,NA,NA,NA
Kobya,Synastraeidae,0,1,1,3,colonial,massive,,z,,Z,"{Gill, 2004 #10191}",pennular septa,3
Kobyastraea,Kobyastraeidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Kobyphyllia,Faviidae,0,1,1,0,solitary,cuneiform,medium,az,z,NA,NA,NA,NA
Koilocoenia,Astrocoeniidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Koilomorpha,Thamnasteriidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Kompsasteria,Cyclophylliidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Krainastraea,Andemantastraeidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Ksiazkiewiczia,Faviidae,0,1,1,2,colonial,massive,,z,,Z,"{Tom†s, 2008 #11508}",Corallum shape with depth,1
Kuhnastraea,Distichophylliidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Lamellofungia,Agariciidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Lamellomeandra,Placosmiliidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Lamellophyllia,Dendrophylliidae,0,1,1,0,solitary,ceratoid,small,az,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Larisolena,Microsolenidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Laterophyllia,Astraeomorphidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Latiastrea,Latomeandridae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Latiphyllia,Montlivaltiidae,0,1,1,4,colonial,flabellate,,z,,NA,NA,NA,NA
Latomeandra,Latomeandridae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Latusastrea,Heterocoeniidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Lepiconus,Stylophyllidae,0,1,1,0,solitary,cupolate,medium,az,z,NA,NA,NA,NA
Leptastrea,Faviidae,1,1,1,2,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Leptocyathus,Caryophylliidae,0,1,1,0,solitary,trochoid,small,az,,NA,NA,NA,NA
Leptomussa,Mussidae,0,1,1,0,solitary,trochoid,large,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Leptophyllaraea,Haplaraeidae,0,1,1,0,solitary,subcylindrical,large,z,,NA,NA,NA,NA
Leptophyllon,Fungiidae,0,1,1,1,colonial,phaceloid,,z,,NA,NA,NA,NA
Leptopsammia,Dendrophylliidae,1,1,1,0,solitary,ceratoid,small,az,,NA,NA,NA,NA
Leptoria,Faviidae,1,1,1,4,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Leptoseris,Agariciidae,1,1,1,3,colonial,lamellar,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Letepsammia,Micrabaciidae,1,1,1,0,solitary,discoid,medium,az,,NA,NA,NA,NA
Liptodendron,Faviidae,0,1,1,1,colonial,dendroid,,az,z,NA,NA,NA,NA
Litharaeopsis,Microsolenidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Lithophyllia,Mussidae,1,1,1,0,solitary,turbinate,large,z,,NA,NA,NA,NA
Lithophyllon,Fungiidae,1,1,1,3,colonial,lamellar,,z,,NA,NA,NA,NA
Lobophyllia,Mussidae,1,1,1,2,colonial,phaceloid,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Lobopsammia,Dendrophylliidae,0,1,1,1,colonial,dendroid,,az,,NA,NA,NA,NA
Loboseris,Latomeandridae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Lochmaeosmilia,Amphiastreidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Lophelia,Caryophylliidae,1,1,1,1,colonial,dendroid,,az,,NA,NA,NA,NA
Lophomeandra,Brachyphylliidae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Lophosmilia,Caryophylliidae,0,1,1,0,solitary,turbinate,small,az,,NA,NA,NA,NA
Lyubasha,Misistellidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Macgeopsis,Ellipsosmiliidae,0,1,1,0,solitary,turbinate,medium,az,z,NA,NA,NA,NA
Madracis,Astrocoeniidae,1,1,1,2,colonial,ramose,,ap,,AP,"{Perrin, 2012 #14453}",Uniformitarian,1
Madrepora,Oculinidae,1,1,1,1,colonial,dendroid,,az,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Maeandrella,Agariciidae,0,1,1,4,colonial,foliaceous,,z,,NA,NA,NA,NA
Maeandrostylis,Stylophyllidae,0,1,1,2,colonial,lamellar,,z,,NA,NA,NA,NA
Makridinophyllia,Dendrophylliidae,0,1,1,0,solitary,fungiform,small,az,,NA,NA,NA,NA
Manicina,Faviidae,1,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Mapucheastrea,Montlivaltiidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Mareastraea,Mussidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Margarastraea,Montlivaltiidae,0,1,1,4,colonial,lamellar,,z,,Z,"{Martindale, 2012 #13474}",Corallum shape with depth,1
Margarastreopsis,Montlivaltiidae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Margarogyra,Coryphylliidae,0,1,1,3,colonial,lamellar,,z,,NA,NA,NA,NA
Margarophyllia,Margarophylliidae,0,1,1,0,solitary,turbinate,medium,az,z,Z,"{Stanley, 1995 #600}",isotope data from skeleton,3
Margarosmilia,Margarophylliidae,0,1,1,1,colonial,phaceloid,,z,az,Z,"{Stanley, 1995 #600}",isotope data from skeleton,3
Matejkia,Mussidae,0,1,1,2,colonial,lamellar,,z,,NA,NA,NA,NA
Mckenziephyllia,Faviidae,0,1,1,2,colonial,foliaceous,,z,,NA,NA,NA,NA
Meandraraea,Haplaraeidae,0,1,1,3,colonial,massive,,z,,Z,"{Rosen, 2000 #6594}",Corallum shape with depth,1
Meandrastrea,Montlivaltiidae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Meandrina,Meandrinidae,1,1,1,4,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Meandrophyllia,Haplaraeidae,0,1,1,4,colonial,massive,,z,,Z,"{Rosen, 2000 #6594}",Corallum shape with depth,1
Meandrostylophyllum,Stylophyllidae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Meandrovolzeia,Volzeiidae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Melikerona,Dendrogyriidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Merulina,Merulinidae,1,1,1,4,colonial,lamellar,,z,,NA,NA,NA,NA
Mesomorpha,Curtoseriidae,0,1,1,3,colonial,massive,,z,,Z,"{Tom†s, 2008 #11508}",Corallum shape with depth,1
Micrabacia,Micrabaciidae,0,1,1,0,solitary,cupolate,small,az,,NA,NA,NA,NA
Micromussa,Mussidae,1,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Microphyllia,Latomeandridae,0,1,1,4,colonial,massive,,z,,Z,"{Rosen, 2000 #6594}",Corallum shape with depth,1
Microphylliopsis,Latomeandridae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Microsmilia,Guyniidae,0,1,1,0,solitary,ceratoid,small,az,,NA,NA,NA,NA
Microsolena,Microsolenidae,0,1,1,3,colonial,massive,,z,,Z,"{Nose, 1995 #2227}",Corallum shape with depth,1
Microsolenastraea,Microsolenidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Minasteria,Pamiroseriidae,0,1,1,2,colonial,lamellar,,z,,NA,NA,NA,NA
Miophora,Cyathophoridae,0,1,1,2,colonial,massive,,z,,?,"{Perrin, 2012 #14453}",,NA
Mioscapophyllia,Merulinidae,0,1,1,3,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Mioseris,Agariciidae,0,1,1,2,colonial,,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Misistella,Misistellidae,0,1,1,2,colonial,phaceloid,,z,az,NA,NA,NA,NA
Mitrodendron,Amphiastreidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Mixastraea,Latomeandridae,0,1,1,2,colonial,massive,,z,,Z,"{Tom†s, 2008 #11508}",Corallum shape with depth,1
Monstroseris,Stylophyllidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Montastraea,Faviidae,1,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Monticulastraea,Faviidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Montipora,Acroporidae,1,1,1,2,colonial,lamellar,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Montlivaltia,Montlivaltiidae,0,1,1,0,solitary,cylindrical,large,z,,NA,NA,NA,NA
Morphastrea,Thamnasteriidae,0,1,1,3,colonial,lamellar,,z,,NA,NA,NA,NA
Morycastraea,Pamiroseriidae,0,1,1,2,colonial,phaceloid,,z,,NA,NA,NA,NA
Multicolumnastraea,Faviidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Mussa,Mussidae,1,1,1,3,colonial,flabellate,,z,,NA,NA,NA,NA
Mussismilia,Mussidae,1,1,1,2,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Mycedium,Pectiniidae,1,1,1,3,colonial,lamellar,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Mycetaraea,Microsolenidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Mycetophyllia,Mussidae,1,1,1,3,colonial,lamellar,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Myriophyllia,Faviidae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Myriophyllum,Procyclolitidae,0,1,1,0,solitary,discoid,medium,az,z,NA,NA,NA,NA
Nefocoenia,Faviidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Nefophyllia,Meandrinidae,0,1,1,1,colonial,phaceloid,,az,z,NA,NA,NA,NA
Negoporites,Negoporitidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Neocaeniopsis,Pachyphyllidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Neocoenia,Placocoeniidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Neoconophyllia,Margarophylliidae,0,1,1,0,solitary,cylindrical,medium,az,z,NA,NA,NA,NA
Nerthastraea,Montlivaltiidae,0,1,1,2,colonial,massive,,z,,?,"{Perrin, 2012 #14453}",,NA
Neuquinosmilia,Montlivaltiidae,0,1,1,0,solitary,cylindrical,medium,az,z,NA,NA,NA,NA
Nevadoseris,Coryphylliidae,0,1,1,2,colonial,lamellar,,z,,NA,NA,NA,NA
Nicaeotrochus,Turbinoliidae,0,1,1,0,solitary,cylindrical,small,az,,?,"{Perrin, 2012 #14453}",,NA
Noriphyllia,Coryphylliidae,0,1,1,0,solitary,cylindrical,small,az,,NA,NA,NA,NA
Notocyathus,Turbinoliidae,1,1,1,0,solitary,trochoid,small,az,,NA,NA,NA,NA
Notophyllia,Dendrophylliidae,1,1,1,0,solitary,cuneiform,small,az,,NA,NA,NA,NA
Oculina,Oculinidae,1,1,1,2,colonial,dendroid,,ap,,AP,"{Perrin, 2012 #14453}",Uniformitarian,1
Odontocyathoides,Caryophylliidae,0,1,1,0,solitary,patellate,small,az,,NA,NA,NA,NA
Odontocyathus,Caryophyllidae,1,1,1,0,solitary,patellate,small,az,,NA,NA,NA,NA
Oedalmia,Reimaniphylliidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Oedalmiopsis,Aulastraeoporidae,0,1,1,3,colonial,lamellar,,z,,NA,NA,NA,NA
Ogilviastraea,Faviidae,0,1,1,1,colonial,dendroid,,az,,NA,NA,NA,NA
Ogilvinella,Rhipidogyridae,0,1,1,2,colonial,massive,,z,,Z,"{Tom†s, 2008 #11508}",Corallum shape with depth,1
Omphalophyllia,Conophyllidae,0,1,1,0,solitary,cylindrical,medium,az,z,NA,NA,NA,NA
Omphalophylliopsis,Conophyllidae,0,1,1,0,solitary,turbinate,medium,az,z,NA,NA,NA,NA
Onchotrochus,Guyniidae,0,1,1,0,solitary,cylindrical,small,az,,NA,NA,NA,NA
Opisthophyllum,Amphiastreidae,0,1,1,0,solitary,cylindrical,medium,az,z,NA,NA,NA,NA
Oppelismilia,Stylophyllidae,0,1,1,0,solitary,trochoid,medium,az,z,NA,NA,NA,NA
Orbicella,Merulinidae,1,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Orbignygyra,Rhipidogyridae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Oulangia,Rhizangiidae,1,1,1,1,colonial,reptoid,,az,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Oulastrea,Faviidae,1,1,1,2,colonial,encrusting,,z,,NA,NA,NA,NA
Oulophyllia,Faviidae,1,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Ovalastraeopsis,Andemantastraeidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Ovalastrea,Latomeandridae,0,1,1,2,colonial,massive,,z,,Z,"{Tom†s, 2008 #11508}",Corallum shape with depth,1
Oxypora,Pectiniidae,1,1,1,3,colonial,foliaceous,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Oxysmilia,Caryophylliidae,1,1,1,0,solitary,cylindrical,medium,az,z,NA,NA,NA,NA
Pachydendron,Zardinophyllidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Pachygyra,Meandrinidae,0,1,1,3,colonial,flabellate,,z,,NA,NA,NA,NA
Pachyphyllia,Pachyphylliidae,0,1,1,2,colonial,foliaceous,,az,,NA,NA,NA,NA
